"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 23:14:23 GMT 2024","Mon Jun 24 23:14:25 GMT 2024","2435","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:13:58 GMT 2024","Mon Jun 24 23:14:00 GMT 2024","1738","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:13:49 GMT 2024","Mon Jun 24 23:13:53 GMT 2024","4013","CrossBrowser","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Mon Jun 24 23:14:00 GMT 2024","Mon Jun 24 23:14:02 GMT 2024","1575","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:13:56 GMT 2024","Mon Jun 24 23:13:58 GMT 2024","1726","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:14:31 GMT 2024","Mon Jun 24 23:14:34 GMT 2024","2579","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:13:43 GMT 2024","Mon Jun 24 23:13:43 GMT 2024","9","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Mon Jun 24 23:14:18 GMT 2024","Mon Jun 24 23:14:21 GMT 2024","2578","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:14:14 GMT 2024","Mon Jun 24 23:14:16 GMT 2024","1896","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:14:27 GMT 2024","Mon Jun 24 23:14:29 GMT 2024","1876","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:13:54 GMT 2024","Mon Jun 24 23:13:56 GMT 2024","1856","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:14:08 GMT 2024","Mon Jun 24 23:14:10 GMT 2024","2519","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the Base URL and Title of the application are correct and as expected."
"unknown","Mon Jun 24 23:13:43 GMT 2024","Mon Jun 24 23:13:43 GMT 2024","2","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Mon Jun 24 23:14:08 GMT 2024","Mon Jun 24 23:14:14 GMT 2024","5938","CrossBrowser","FirefoxTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Mon Jun 24 23:13:49 GMT 2024","Mon Jun 24 23:13:51 GMT 2024","1676","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the Base URL and Title of the application are correct and as expected."
"passed","Mon Jun 24 23:13:49 GMT 2024","Mon Jun 24 23:13:52 GMT 2024","2678","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:13:52 GMT 2024","Mon Jun 24 23:13:54 GMT 2024","1863","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Mon Jun 24 23:14:08 GMT 2024","Mon Jun 24 23:14:11 GMT 2024","3219","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
